pid,label,order,layout,collection,thumbnail,full,題名,書名,所蔵機関,請求記号,画工名,和暦年月日,版元名,版元住所,判,形態,彩色,検印状況,主題,細目,その他書誌事項,manifest,人名,検印,その他固有件名,彫師,地名
0151,子供芸づくし,0151,nishikie_item,qatar,"/img/derivatives/iiif/images/0151_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0151_001/full/1140,/0/default.jpg",子供芸づくし,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(78),歌重（三代目広重）戯画,明治元年５月(18680050550),不明版元菱形藤字印,,大判,竪絵 １枚,錦絵,あり,戊辰戦争,子供絵,まくらびき、会津と長州、すねおし、南部と？、指相撲、和宮と田安？、三尺相撲、大村と二本松、みみくらべ、桑名と肥後？,/img/derivatives/iiif/0151/manifest.json,,辰五改,すねおし/みみくらべ/枕引/指相撲/三尺相撲,,
0152,勝軍振舞御献さつ立,0152,nishikie_item,qatar,"/img/derivatives/iiif/images/0152_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0152_001/full/1140,/0/default.jpg",勝軍振舞御献さつ立,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(79),なし,（明治元年）(18680550550),,,大判,横絵 １枚,錦絵,なし,戊辰戦争,風刺画,,/img/derivatives/iiif/0152/manifest.json,,,料理献立,,
0153,神いさめ道化二十五座,0153,nishikie_item,qatar,"/img/derivatives/iiif/images/0153_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0153_001/full/1140,/0/default.jpg",神いさめ道化二十五座,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(80),なし,（明治元年）(18680550550),,,大判,竪絵 ３枚続,錦絵,なし,戊辰戦争,風刺画,,/img/derivatives/iiif/0153/manifest.json,,,,,
0154,子供あそびさつきの戯,0154,nishikie_item,qatar,"/img/derivatives/iiif/images/0154_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0154_001/full/1140,/0/default.jpg",子供あそびさつきの戯,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(81),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,子供絵,右、肥後、彦根、藤堂、徳川慶喜、長州、薩摩、会津、左、仙台、尾張、土佐、庄内,/img/derivatives/iiif/0154/manifest.json,,,,,
0155,こしをしの図,0155,nishikie_item,qatar,"/img/derivatives/iiif/images/0155_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0155_001/full/1140,/0/default.jpg",こしをしの図,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(82),なし,（文久３年夏頃）(18630770550),,,大判,竪絵 １枚,錦絵,なし,,風刺画,,/img/derivatives/iiif/0155/manifest.json,,,,,
0156,狂斎百狂どふけ百万編,0156,nishikie_item,qatar,"/img/derivatives/iiif/images/0156_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0156_001/full/1140,/0/default.jpg",狂斎百狂どふけ百万編,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(83),惺々狂斎戯画印,元治元年３月(18640030550),大金,築地,大判,竪絵 ３枚続,錦絵,あり,,風刺画,「ぶしの大当」の文字あり、０３８０－１３－（２５）も同一,/img/derivatives/iiif/0156/manifest.json,,子三改,百万編,,
0157,大社ゑんむすび,0157,nishikie_item,qatar,"/img/derivatives/iiif/images/0157_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0157_001/full/1140,/0/default.jpg",大社ゑんむすび,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(84),一魁斎芳年筆,明治元年４月(18680040550),小島屋重兵衛,,大判,竪絵 ２枚続,錦絵,あり,戊辰戦争,風刺画,,/img/derivatives/iiif/0157/manifest.json,,辰四改,,,
0158,道成寺つりがねこんりう,0158,nishikie_item,qatar,"/img/derivatives/iiif/images/0158_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0158_001/full/1140,/0/default.jpg",道成寺つりがねこんりう,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(85),芳年戯筆,文久元年１２月(18610120550),正文堂,,大判,竪絵 ２枚続,錦絵,あり,金融／貨幣,風刺画,,/img/derivatives/iiif/0158/manifest.json,,酉十二改,,,
0159,当盛茶ばん狂言,0159,nishikie_item,qatar,"/img/derivatives/iiif/images/0159_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0159_001/full/1140,/0/default.jpg",当盛茶ばん狂言,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(86),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,,/img/derivatives/iiif/0159/manifest.json,,,,,
0160,月見のたわむれ,0160,nishikie_item,qatar,"/img/derivatives/iiif/images/0160_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0160_001/full/1140,/0/default.jpg",月見のたわむれ,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(87),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,「月月に月見る月はおふけれど月見る月ハ此月の月」の歌あり、英語あり、０３８０－１３－（２８）も同一、巴と水車あり、板倉と稲葉とみて明治元年,/img/derivatives/iiif/0160/manifest.json,,,石臼,,
0161,狂画御馳走尽し,0161,nishikie_item,qatar,"/img/derivatives/iiif/images/0161_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0161_001/full/1140,/0/default.jpg",狂画御馳走尽し,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(88),天貧坊土地面画讃,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,「味よきは 会席料理 酌ハたぼ　酒ハ新川 肴河岸なり」,/img/derivatives/iiif/0161/manifest.json,天貧坊土地面,,,,
0162,狂画こん会,0162,nishikie_item,qatar,"/img/derivatives/iiif/images/0162_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0162_001/full/1140,/0/default.jpg",狂画こん会,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(89),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,,/img/derivatives/iiif/0162/manifest.json,,,,,
0163,新作浮世道中,0163,nishikie_item,qatar,"/img/derivatives/iiif/images/0163_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0163_001/full/1140,/0/default.jpg",新作浮世道中,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(90),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,,/img/derivatives/iiif/0163/manifest.json,,,,,
0164,六歌仙の内りうこうけん,0164,nishikie_item,qatar,"/img/derivatives/iiif/images/0164_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0164_001/full/1140,/0/default.jpg",六歌仙の内りうこうけん,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(91),なし,（明治元年）(18680550550),,,大判,竪絵 １枚,錦絵,なし,天皇東幸／天皇再幸,風刺画,,/img/derivatives/iiif/0164/manifest.json,,,拳,,
0165,当時物論集会,0165,nishikie_item,qatar,"/img/derivatives/iiif/images/0165_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0165_001/full/1140,/0/default.jpg",当時物論集会,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(92),なし,文久３年４月カ(18630040551),,,大判,竪絵 ２枚続,錦絵,なし,尊皇攘夷,風刺画,こわい物ハ商売のひま,/img/derivatives/iiif/0165/manifest.json,,,生麦事件,,
0166,家内楽金銭遊セル図,0166,nishikie_item,qatar,"/img/derivatives/iiif/images/0166_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0166_001/full/1140,/0/default.jpg",家内楽金銭遊セル図,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(93),松蝶楼国麿戯画印,慶応元年５月(18650050550),英屋文蔵,,大判,竪絵 ２枚続,錦絵,あり,ええじゃないか／世直し／金融／貨幣／金融／物価,風刺画,「かないたのしむきんせんをあそはせるづ」,/img/derivatives/iiif/0166/manifest.json,,丑五改,,,
0167,諸道具寄合噂はなし,0167,nishikie_item,qatar,"/img/derivatives/iiif/images/0167_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0167_001/full/1140,/0/default.jpg",諸道具寄合噂はなし,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(94),一立斎重政戯画印,慶応２年１０月(18660100550),伊勢屋鉄五郎,,大判,竪絵 １枚,錦絵,あり,ええじゃないか／世直し／金融／物価,風刺画,,/img/derivatives/iiif/0167/manifest.json,,寅十改,,,
0168,大集諸色の大さがり,0168,nishikie_item,qatar,"/img/derivatives/iiif/images/0168_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0168_001/full/1140,/0/default.jpg",大集諸色の大さがり,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(95),板元之好みに付国輝戯画,慶応３年４月(18670040550),具足屋,人形町,大判,竪絵 ２枚続,錦絵,あり,ええじゃないか／世直し／金融／物価,風刺画,,/img/derivatives/iiif/0168/manifest.json,,卯四改,,彫栄,
0169,天加羅渡利泡喰鳥,0169,nishikie_item,qatar,"/img/derivatives/iiif/images/0169_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0169_001/full/1140,/0/default.jpg",天加羅渡利泡喰鳥,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(96),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,,/img/derivatives/iiif/0169/manifest.json,天貧坊土地面,,江戸開城,,
0170,愛宕参詣群集之図,0170,nishikie_item,qatar,"/img/derivatives/iiif/images/0170_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0170_001/full/1140,/0/default.jpg",愛宕参詣群集之図,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(97),一光斎芳盛画,慶応元年１０月(18650100550),ゑかつ（古賀尾勝五郎）,,大判,竪絵 ３枚続,錦絵,あり,,風刺画,職人が品物をかついで階段を登っていく図,/img/derivatives/iiif/0170/manifest.json,,丑十改,,,
0171,浮世稽古荷上り繁昌,0171,nishikie_item,qatar,"/img/derivatives/iiif/images/0171_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0171_001/full/1140,/0/default.jpg",浮世稽古荷上り繁昌,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(98),芳虎画,慶応２年８月(18660080550),遠州屋彦兵衛（遠彦）,,大判,竪絵 ３枚続,錦絵,あり,ええじゃないか／世直し／金融／物価,風刺画,上っている品物の名前ズラッとあり,/img/derivatives/iiif/0171/manifest.json,,寅八改,小唄師匠,ホリ長,
0172,世の中いろはたとへ,0172,nishikie_item,qatar,"/img/derivatives/iiif/images/0172_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0172_001/full/1140,/0/default.jpg",世の中いろはたとへ,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(99),なし,（明治元年）(18680550550),,,大判,竪絵 ２枚続,錦絵,なし,戊辰戦争,風刺画,,/img/derivatives/iiif/0172/manifest.json,,,,,
0173,りう行なんだへぶし,0173,nishikie_item,qatar,"/img/derivatives/iiif/images/0173_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0173_001/full/1140,/0/default.jpg",りう行なんだへぶし,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(100),重政画,明治元年３月(18680030550),清水屋直次郎,,大判,竪絵 ３枚続,錦絵,あり,戊辰戦争,風刺画,,/img/derivatives/iiif/0173/manifest.json,,辰三改,なんだへぶし/御札ふり,,
0174,和漢諸色大角力,0174,nishikie_item,qatar,"/img/derivatives/iiif/images/0174_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0174_001/full/1140,/0/default.jpg",和漢諸色大角力,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(101),自笑斎（三代目広重）戯画印,慶応３年７月(18670070550),若狭屋甚五郎（若甚板）,,大判,竪絵 ２枚続,錦絵,あり,商業／商売,風刺画,輸入品と在来品との相撲,/img/derivatives/iiif/0174/manifest.json,,卯七改,南金米/シャボン/写真,,
0175,（焼芋屋の前にて子供遊びの図）,0175,nishikie_item,qatar,"/img/derivatives/iiif/images/0175_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0175_001/full/1140,/0/default.jpg",（焼芋屋の前にて子供遊びの図）,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(102),竹内栄久,明治１０年３月２４日届(18770030240),福田熊治良,長谷川丁２０,大判,竪絵 １枚,錦絵,なし,士族反乱／西南戦争,子供絵,,/img/derivatives/iiif/0175/manifest.json,,,焼芋屋,,
0176,児供遊び力くらべ,0176,nishikie_item,qatar,"/img/derivatives/iiif/images/0176_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0176_001/full/1140,/0/default.jpg",児供遊び力くらべ,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(103),梅堂戯墨：竹内栄久,明治１０年４月３日届(18770040030),多賀甚五郎板,新乗物町１９,大判,竪絵 ２枚続,錦絵,なし,士族反乱／西南戦争,子供絵,定価３銭５厘,/img/derivatives/iiif/0176/manifest.json,,,,,
0177,歌沢の稽古所,0177,nishikie_item,qatar,"/img/derivatives/iiif/images/0177_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0177_001/full/1140,/0/default.jpg",歌沢の稽古所,維新前後諷刺画　二,東京大学史料編纂所,0380-17-2-(104),孟斎画,（明治１０年）(18770550550),,,大判,竪絵 ２枚続,錦絵,なし,士族反乱／西南戦争,子供絵,,/img/derivatives/iiif/0177/manifest.json,,,歌沢師匠,,
0178,源頼朝公富士ノ狩場行列之図,0178,nishikie_item,qatar,"/img/derivatives/iiif/images/0178_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0178_001/full/1140,/0/default.jpg",源頼朝公富士ノ狩場行列之図,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(1),応需国輝画印,慶応元年５月(18650050550),伊勢屋兼吉板,,大判,竪絵 ３枚続,錦絵,あり,長州征伐（禁門の変）,風景画,,/img/derivatives/iiif/0178/manifest.json,,丑五改,将軍進発,,日本橋
0179,源頼朝公上洛御官位之図,0179,nishikie_item,qatar,"/img/derivatives/iiif/images/0179_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0179_001/full/1140,/0/default.jpg",源頼朝公上洛御官位之図,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(2),五雲亭貞秀画印,元治元年２月(18640020550),山本平吉梓,,大判,竪絵 ３枚続,錦絵,あり,将軍上洛,風景画,,/img/derivatives/iiif/0179/manifest.json,,子二改,翔鶴丸,片田彫長,
0180,（翔鶴丸大坂到着の図）,0180,nishikie_item,qatar,"/img/derivatives/iiif/images/0180_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0180_001/full/1140,/0/default.jpg",（翔鶴丸大坂到着の図）,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(3),五雲亭貞秀画,元治元年１月(18640010550),藤岡屋慶次郎梓,江戸通油町,大判,竪絵 ３枚続,錦絵,あり,将軍上洛,風景画,,/img/derivatives/iiif/0180/manifest.json,,子正改,翔鶴丸,彫兼,
0181,（ミカド兵庫にて軍議の図）,0181,nishikie_item,qatar,"/img/derivatives/iiif/images/0181_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0181_001/full/1140,/0/default.jpg",（ミカド兵庫にて軍議の図）,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(4),なし,元治元年カ(18640550551),,,大判,竪絵 ３枚続,錦絵,なし,長州征伐（禁門の変）,風景画,,/img/derivatives/iiif/0181/manifest.json,,,,,
0182,為朝琉球国ニ鷲討図,0182,nishikie_item,qatar,"/img/derivatives/iiif/images/0182_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0182_001/full/1140,/0/default.jpg",為朝琉球国ニ鷲討図,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(5),一昇斎国福画印,文久２年１１月(18620110550),井筒屋,,大判,竪絵 ３枚続,錦絵,あり,,風刺画,,/img/derivatives/iiif/0182/manifest.json,源為朝,戌十一改,,彫工深長,
0183,蒙古賊船退治之図,0183,nishikie_item,qatar,"/img/derivatives/iiif/images/0183_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0183_001/full/1140,/0/default.jpg",蒙古賊船退治之図,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(6),惺々狂斎,文久３年８月(18630080550),藤岡屋慶次郎（藤けい）,,大判,竪絵 ３枚続,錦絵,あり,尊皇攘夷,風景画,詞書あり,/img/derivatives/iiif/0183/manifest.json,日蓮,亥八改,,,
0184,蒙古退治之略記,0184,nishikie_item,qatar,"/img/derivatives/iiif/images/0184_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0184_001/full/1140,/0/default.jpg",蒙古退治之略記,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(7),周麿,文久３年８月(18630080550),大金,築地,大判,竪絵 ２枚続,錦絵,あり,尊皇攘夷,風景画,隅田了古の詞書あり,/img/derivatives/iiif/0184/manifest.json,隅田了古/日蓮,亥八改,元寇,,
0185,楠正行四条縄手合戦,0185,nishikie_item,qatar,"/img/derivatives/iiif/images/0185_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0185_001/full/1140,/0/default.jpg",楠正行四条縄手合戦,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(8),なし,元治元年カ(18640550551),,,大判,竪絵 ３枚続,錦絵,なし,長州征伐（禁門の変）,風景画,,/img/derivatives/iiif/0185/manifest.json,楠正行,,,,
0186,太平記兵庫合戦,0186,nishikie_item,qatar,"/img/derivatives/iiif/images/0186_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0186_001/full/1140,/0/default.jpg",太平記兵庫合戦,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(9),一勇斎国芳画印,弘化４〜嘉永５年(18520550550),上金,,大判,竪絵 ３枚続,錦絵,あり,歴史画,肖像画,,/img/derivatives/iiif/0186/manifest.json,白藤彦七郎,福/村松,,佐七刻,
0187,西遊記,0187,nishikie_item,qatar,"/img/derivatives/iiif/images/0187_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0187_001/full/1140,/0/default.jpg",西遊記,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(10),狂斎,元治元年３月(18640030550),大十,築地,大判,竪絵 ３枚続,錦絵,あり,将軍上洛,風刺画,,/img/derivatives/iiif/0187/manifest.json,孫悟空,子三改,,,
0188,画本西遊記百鬼夜行ノ図,0188,nishikie_item,qatar,"/img/derivatives/iiif/images/0188_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0188_001/full/1140,/0/default.jpg",画本西遊記百鬼夜行ノ図,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(11),玉園戯画印,幕末期(00000000000),,,大判,竪絵 ３枚続,錦絵,よめず,戯び,風刺画,蒸気船の図あり,/img/derivatives/iiif/0188/manifest.json,,,孫悟空/西遊記,,
0189,正一位為朝大明神の由来,0189,nishikie_item,qatar,"/img/derivatives/iiif/images/0189_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0189_001/full/1140,/0/default.jpg",正一位為朝大明神の由来,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(12),玉蘭斎貞秀画,弘化４〜嘉永５年(18520550550),井筒屋,,大判,竪絵 ２枚続,錦絵,あり,疾病（衛生）／麻疹,,疱瘡神７人の手判をとったとの詞書あり,/img/derivatives/iiif/0189/manifest.json,,浜/馬込,護符/為朝大明神,,
0190,（一休と偽り野晒悟助説教するの図）,0190,nishikie_item,qatar,"/img/derivatives/iiif/images/0190_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0190_001/full/1140,/0/default.jpg",（一休と偽り野晒悟助説教するの図）,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(13),朝桜楼国芳戯画印,天保１４〜弘化４年(18330550550),上金,,大判,竪絵 ３枚続,錦絵,あり,,風景画,柳下亭種員の詞書あり、末尾に「はたるべきかけははたらでつみとがの帳けしをさへねがふをかしさ」,/img/derivatives/iiif/0190/manifest.json,柳下亭種員/野晒悟助,村,,,
0191,きたいなめい医難病療治,0191,nishikie_item,qatar,"/img/derivatives/iiif/images/0191_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0191_001/full/1140,/0/default.jpg",きたいなめい医難病療治,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(14),一勇斎国芳戯画,嘉永３年６月(18500060550),遠州屋彦兵衛（遠彦）,通三,大判,竪絵 ３枚続,錦絵,あり,幕府／幕閣,風刺画,『藤岡屋日記』に6月１１日酉とりとあり,/img/derivatives/iiif/0191/manifest.json,,浜/馬込,,,
0192,（鬼地獄の釜の蓋をあくるの図）,0192,nishikie_item,qatar,"/img/derivatives/iiif/images/0192_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0192_001/full/1140,/0/default.jpg",（鬼地獄の釜の蓋をあくるの図）,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(15),惺々狂斎戯画,元治元年３月(18640030550),,,大判,竪絵 ２枚続,錦絵,あり,将軍上洛,風刺画,但し、あと一枚あるかも知れない,/img/derivatives/iiif/0192/manifest.json,,子三改,,,
0193,大会狂俳点句,0193,nishikie_item,qatar,"/img/derivatives/iiif/images/0193_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0193_001/full/1140,/0/default.jpg",大会狂俳点句,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(16),天斎画,明治元年５月(18680050550),不明版元菱形善字印,,大判,竪絵 ２枚続,錦絵,あり,戊辰戦争／和歌・狂歌,風刺画,東、会津、庄内、仙台、田安、米沢、二本松、佐竹、天璋院、西、京、尾張、池田、藤堂、薩摩、土佐、彦根、あと歌のみで長州,/img/derivatives/iiif/0193/manifest.json,,辰五改,,,
0194,老まつ,0194,nishikie_item,qatar,"/img/derivatives/iiif/images/0194_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0194_001/full/1140,/0/default.jpg",老まつ,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(17),広重画印,明治元年閏４月(18680045550),丸屋平次郎（丸平）,,大判,竪絵 ２枚続,錦絵,あり,戊辰戦争,風刺画,,/img/derivatives/iiif/0194/manifest.json,,辰閏改,老松,,
0195,当御開帳利益の友綱,0195,nishikie_item,qatar,"/img/derivatives/iiif/images/0195_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0195_001/full/1140,/0/default.jpg",当御開帳利益の友綱,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(18),国まさ筆（国政）,明治６年３月(18730030550),伊勢屋兼吉（伊勢兼）,,大判,竪絵 ２枚続,錦絵,あり,文明開化／仏教,,明治６年４月５日成田山深川永代寺において１７日より６０日開帳につき、今日到着,/img/derivatives/iiif/0195/manifest.json,,酉三,成田山不動尊,,
0196,一寸見なんしことしの新ぱん,0196,nishikie_item,qatar,"/img/derivatives/iiif/images/0196_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0196_001/full/1140,/0/default.jpg",一寸見なんしことしの新ぱん,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(19),主人の応需狂斎,慶応３年３月(18670030550),,,大判,竪絵 １枚,錦絵,あり,戯び,,,/img/derivatives/iiif/0196/manifest.json,高井三九郎,卯三改,赤羽の火見,,
0197,（諸品高山にて仕事するの図）,0197,nishikie_item,qatar,"/img/derivatives/iiif/images/0197_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0197_001/full/1140,/0/default.jpg",（諸品高山にて仕事するの図）,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(20),狂斎,慶応３年３月(18670030550),大金,築地,大判,竪絵 ２枚続,錦絵,あり,ええじゃないか／世直し／金融／物価,風刺画,,/img/derivatives/iiif/0197/manifest.json,,卯三改,,,
0198,異国船帰帆之図并ニ魚之図,0198,nishikie_item,qatar,"/img/derivatives/iiif/images/0198_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0198_001/full/1140,/0/default.jpg",異国船帰帆之図并ニ魚之図,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(21),なし,（元治元年）(18640550550),,,大判,横絵 １枚,錦絵,なし,尊皇攘夷,風刺画,,/img/derivatives/iiif/0198/manifest.json,,,,,
0199,分鳥一名カツ鳥,0199,nishikie_item,qatar,"/img/derivatives/iiif/images/0199_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0199_001/full/1140,/0/default.jpg",分鳥一名カツ鳥,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(22),なし,（明治元年）(18680550550),,,大判,竪絵 １枚,錦絵,なし,戊辰戦争,風刺画,詞書あり　応需北陽山人戯誌,/img/derivatives/iiif/0199/manifest.json,北陽山人,,,,
0200,火用心,0200,nishikie_item,qatar,"/img/derivatives/iiif/images/0200_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0200_001/full/1140,/0/default.jpg",火用心,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(23),一勇斎国芳画印,（嘉永５年）(18520550550),玉屋惣助（玉惣）,,大判,竪絵 １枚,錦絵,あり,災害／火消・消防,風景画,,/img/derivatives/iiif/0200/manifest.json,,福/村松,,,
0201,猫の妙術,0201,nishikie_item,qatar,"/img/derivatives/iiif/images/0201_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0201_001/full/1140,/0/default.jpg",猫の妙術,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(24),一勇斎国芳戯画,弘化４〜嘉永５年(18520550550),玉屋惣助（玉惣）,,大判,竪絵 １枚,錦絵,あり,戯び,,,/img/derivatives/iiif/0201/manifest.json,,米良/村田,,,
0202,浮世はゆめだゆめだ,0202,nishikie_item,qatar,"/img/derivatives/iiif/images/0202_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0202_001/full/1140,/0/default.jpg",浮世はゆめだゆめだ,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(25),なし,文久３年４月カ(18630040551),,,大判,竪絵 １枚,錦絵,なし,尊皇攘夷,風刺画,市中の物持ちが思案顔し、日傭取りと舟乗りが酒宴をひらいている画、０３８０－１７－１－（１２）も同一,/img/derivatives/iiif/0202/manifest.json,,,日傭取り/生麦事件/舟乗り,,
0203,はしかのまじなひたらやうの葉,0203,nishikie_item,qatar,"/img/derivatives/iiif/images/0203_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0203_001/full/1140,/0/default.jpg",はしかのまじなひたらやうの葉,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(26),一英斎芳艶画印,文久２年４月(18620040550),不明版元角形大字印,,大判,竪絵 １枚,錦絵,あり,疾病（衛生）／麻疹,子供絵,此絵をはりおきてたへずなかむる時ハ、たとひはしかをやむとも、おもきハかろく、かろきはのがれ、万人に一人もけがあることなし、うたがふべからず、麦殿は生れぬ先にはしかして、かせたる後ハ我身なりけり,/img/derivatives/iiif/0203/manifest.json,,戌四改,まじない/たらようの葉,,
0204,（たらようの葉にまじないの図）,0204,nishikie_item,qatar,"/img/derivatives/iiif/images/0204_001/full/250,/0/default.jpg","/img/derivatives/iiif/images/0204_001/full/1140,/0/default.jpg",（たらようの葉にまじないの図）,維新前後諷刺画　四,東京大学史料編纂所,0380-17-4-(27),芳盛戯画,文久２年４月(18620040550),古賀屋勝五郎,,大判,竪絵 １枚,錦絵,あり,疾病（衛生）／麻疹,,むぎどのハ生れぬさきにはしかしてかせての後はわが子なりけり、此度はしか流行にて、諸人難儀ニ及ぶもの多し、右の人々たらやうといふ木の葉へ、右の歌を書、印の所へ灸を三火つつすへ、川へ流すべし、必あやまちなきことうたがひなし、但、葉のなきときハ此ゑをきりぬき流してよし、本郷金助丁、むしおさへ、山さき文蔵、とあり,/img/derivatives/iiif/0204/manifest.json,山崎文蔵,戌四改,,,
